filename,class,status,reason
-win-holding-his-fists-shout-wow-mature-hispanic-man-happy-his-win-122652456.jpg,anger,success,
g2818sb7780bmkdapg.jpg,anger,success,
g3ry3pkr1npzzhoetl.jpg,anger,success,
g417hk78zy2bj09kk9.jpg,anger,success,
g42xe2t4ugw8a2pq4w.jpg,anger,success,
g43dpf7iroibvwtjit.jpg,anger,success,
g5bu83q50sftz7rx9n.jpg,anger,success,
g5covv2gzr1gujhlty.jpg,anger,success,
g60siq9z3hzyu7zb3o.jpg,anger,success,
g6ic2rihk9g63m51h7.jpg,anger,success,
g6xgrntszdu0qzwpji.jpg,anger,success,
g6ymj0uy9mhncoyrxd.jpg,anger,success,
g7re4c8l05kbqqh5mg.jpg,anger,success,
g7upq9trwmhf1oetgg.jpg,anger,success,
g8a4mw16bnr9o25oqd.jpg,anger,success,
g913ioe8wwg2ej06h0.jpg,anger,success,
ga228xx0ev5bzcwwik.jpg,anger,success,
ga5g0gjbgz2zct7vnb.jpg,anger,failed,偵測到多於一張人臉 (2 張)
gafygi86x8rogi4mfb.jpg,anger,success,
gam6lrnz3xeebdpanc.jpg,anger,success,
ganhrce2edip06w7an.jpg,anger,success,
GBP-scam.jpg,anger,success,
gcam29n1t0ckssuqpm.jpg,anger,success,
gdli6adbasjcw7uvim.jpg,anger,success,
gdpakpqk2iqf7adgjc.jpg,anger,success,
gdshj2cuvgptj37mwa.jpg,anger,success,
ge1jkzh3eo6k6dkb2v.jpg,anger,success,
ge8kba3a8j6mwya7jg.jpg,anger,success,
gf1hzzo5a6sefs7cjo.jpg,anger,success,
gfipqz0mtdm536zrbn.jpg,anger,success,
gfv420vao1ad716x4t.jpg,anger,success,
gfyoe3zypsw0svkvot.jpg,anger,success,
gg8x0zudzwpy7arvmb.jpg,anger,success,
ggg4mn1vohwywall9e.jpg,anger,success,
ggm3qscae2y4hpt68k.jpg,anger,success,
ghcgu2wf4hd7pfalxs.jpg,anger,success,
gi0gp6m7tkndd6f112.jpg,anger,success,
gi0venvjw7zp0x7g27.jpg,anger,failed,圖片相似度過高 (與同類別中已接受圖片的最大相似度: 0.91)
gi15ysicj7gd7gnlb9.jpg,anger,failed,偵測到多於一張人臉 (2 張)
gi5wrkave87z9bp2r1.jpg,anger,success,
gifilplwl2wk7bvssp.jpg,anger,failed,偵測到多於一張人臉 (2 張)
gijjv6lo56o1tu38j2.jpg,anger,success,
gjd2m0twkxuuko294r.jpg,anger,success,
gl84brtlxrnpromxrz.jpg,anger,success,
glwcwbl2po7a150gp4.jpg,anger,success,
gm2x2u5jwf4mkibodr.jpg,anger,success,
